Date,Open Price,High Price,Low Price,Close Price,WAP,Total Shares,Total Trades,Change(%)
6-Jan-20,1527,1528,1497.5,1501.5,1510.219036,453131,18338,-25.5
7-Jan-20,1520,1534,1514.45,1525.05,1522.463507,504240,19393,5.05
8-Jan-20,1508,1534.45,1508,1513.95,1518.193717,270488,10356,5.95
9-Jan-20,1537.25,1549.8,1531.85,1547.95,1542.177289,258014,16829,10.7
10-Jan-20,1550,1557.75,1540.1,1547.7,1549.546758,192674,10621,-2.3
13-Jan-20,1547,1558.5,1538.65,1543.45,1548.754043,228910,7469,-3.55
14-Jan-20,1542.45,1550.5,1522.7,1529.05,1533.812831,297378,9529,-13.4
15-Jan-20,1538.5,1540.45,1519,1524,1525.35876,226773,10379,-14.5
16-Jan-20,1529.05,1543,1528.5,1537.7,1533.617941,387746,10281,8.65
17-Jan-20,1551.15,1584.8,1551.15,1580.65,1573.895031,617437,17615,29.5
20-Jan-20,1608.05,1609.5,1527,1532,1559.585976,651336,24647,-76.05
21-Jan-20,1529.7,1545.95,1523,1533.95,1534.881862,322191,15146,4.25
22-Jan-20,1540.55,1546.7,1530.9,1533.1,1537.882436,199109,6986,-7.45
23-Jan-20,1538.4,1541.55,1521,1527,1528.873587,196625,9843,-11.4
24-Jan-20,1528,1536.45,1518.65,1521.7,1526.629378,320326,8813,-6.3
27-Jan-20,1515.05,1524.35,1505,1506.6,1513.223999,190617,7729,-8.45
28-Jan-20,1507.05,1510.45,1464.2,1471.35,1485.451144,379788,18564,-35.7
29-Jan-20,1476,1494.45,1465,1479.7,1477.325597,358385,15942,3.7
30-Jan-20,1483.95,1483.95,1440,1442.5,1452.724401,297588,16349,-41.45
31-Jan-20,1451,1454.25,1407.45,1411.7,1425.534253,489214,17415,-39.3
1-Feb-20,1406.95,1427,1371.1,1383.3,1404.338683,551047,20491,-23.65
3-Feb-20,1372,1399,1363.5,1385.85,1381.281983,471210,19914,13.85
4-Feb-20,1398,1431.85,1397.9,1425.85,1416.980834,763029,17425,27.85
5-Feb-20,1434,1452.3,1430.2,1448.05,1442.076356,393828,18302,14.05
6-Feb-20,1453,1466.45,1440.2,1457.65,1451.154444,337256,10654,4.65
7-Feb-20,1452.8,1452.8,1428.5,1433.75,1436.753197,195994,6740,-19.05
10-Feb-20,1430,1445.6,1411.05,1436.75,1423.386185,218657,8682,6.75
11-Feb-20,1445.75,1465.65,1445.05,1452.6,1458.32042,350733,12419,6.85
12-Feb-20,1457.95,1474,1456,1470,1464.291402,286312,15551,12.05
13-Feb-20,1479.7,1479.7,1462.7,1473.95,1472.583054,1202598,9457,-5.75
14-Feb-20,1477.85,1501,1453.3,1486.65,1482.505468,714475,21716,8.8
17-Feb-20,1490,1506,1474.65,1478.4,1483.914385,517807,16979,-11.6
18-Feb-20,1479,1479,1458,1466.1,1464.592526,370782,11133,-12.9
19-Feb-20,1475.55,1506.5,1475.55,1504.2,1497.650189,291146,14476,28.65
20-Feb-20,1498.7,1507.95,1483.45,1485.5,1490.282657,1511993,11369,-13.2
24-Feb-20,1477,1477,1439.6,1444.85,1464.348837,400408,18963,-32.15
25-Feb-20,1450,1451.4,1410,1416.3,1431.183795,308343,14319,-33.7
26-Feb-20,1412.1,1415,1387.25,1391.4,1399.080778,268292,12775,-20.7
27-Feb-20,1390,1393.95,1369.6,1385.8,1380.67307,346398,13368,-4.2
28-Feb-20,1358.8,1358.8,1325,1328.65,1340.972992,391034,28830,-30.15
2-Mar-20,1358.4,1368.75,1303.5,1314.85,1344.558618,356961,20892,-43.55
3-Mar-20,1330,1353.35,1321.8,1343.65,1337.442543,451859,20053,13.65
4-Mar-20,1350.25,1353,1308.1,1339.15,1336.322668,1691316,16628,-11.1
5-Mar-20,1350,1358.35,1306,1311.5,1325.279479,424590,21169,-38.5
6-Mar-20,1276,1288.35,1241.6,1270.05,1272.378595,2582956,38958,-5.95
9-Mar-20,1245,1245,1094.95,1113.15,1140.777435,1678154,73147,-131.85
11-Mar-20,1113.15,1178.4,1110,1153.25,1158.903114,6053529,37139,40.1
12-Mar-20,1087,1100.7,1049.5,1061.6,1076.136062,1042732,58021,-25.4
13-Mar-20,1005,1139.9,939.85,1106.9,1044.217516,2170408,59185,101.9
16-Mar-20,1065.65,1079.65,1005.55,1015.25,1046.760338,901150,36892,-50.4
17-Mar-20,1041.2,1059,1004,1008.9,1036.273242,964776,35514,-32.3
18-Mar-20,1023,1035.1,961.2,968.85,994.8336256,1004674,40856,-54.15
19-Mar-20,925,967.5,891,917.1,921.6210398,1566774,53508,-7.9
20-Mar-20,939,1033.7,930.05,1020.2,985.5326758,1779377,57663,81.2
23-Mar-20,920,952,875.7,883.85,900.0737462,1247576,49632,-36.15
24-Mar-20,943,970.4,895.8,943.1,937.6452496,1025524,34135,0.1
25-Mar-20,951,1152,951,1081.25,950.972743,117608851,60941,130.25
26-Mar-20,1090,1117.15,1043.15,1074.75,1076.450868,921918,37110,-15.25
